Format,Mail,Date
cloud optimized geotiff,1,2024-06-03
Fehlt,65,2024-06-04
API,97,2024-06-04
GPKG,3,2024-06-04
HTML,184,2024-06-04
RDF XML,5,2024-06-04
SERVICE,238,2024-06-04
SPARQL,70,2024-06-04
Unbekannt,4,2024-06-04
WMS,236,2024-06-04
WMTS,215,2024-06-04
ZIP,76,2024-06-04
cloud optimized geotiff,1,2024-06-04
Fehlt,65,2024-06-05
API,97,2024-06-05
GPKG,3,2024-06-05
HTML,184,2024-06-05
RDF XML,5,2024-06-05
SERVICE,238,2024-06-05
SPARQL,70,2024-06-05
Unbekannt,4,2024-06-05
WMS,236,2024-06-05
WMTS,215,2024-06-05
ZIP,76,2024-06-05
cloud optimized geotiff,1,2024-06-05
Fehlt,65,2024-06-06
API,97,2024-06-06
GPKG,3,2024-06-06
HTML,184,2024-06-06
RDF XML,5,2024-06-06
SERVICE,238,2024-06-06
SPARQL,70,2024-06-06
Unbekannt,4,2024-06-06
WMS,236,2024-06-06
WMTS,215,2024-06-06
ZIP,76,2024-06-06
cloud optimized geotiff,1,2024-06-06
Fehlt,65,2024-06-07
API,97,2024-06-07
GPKG,3,2024-06-07
HTML,184,2024-06-07
RDF XML,5,2024-06-07
SERVICE,238,2024-06-07
SPARQL,70,2024-06-07
Unbekannt,4,2024-06-07
WMS,236,2024-06-07
WMTS,215,2024-06-07
ZIP,76,2024-06-07
cloud optimized geotiff,1,2024-06-07
Fehlt,65,2024-06-08
API,97,2024-06-08
GPKG,3,2024-06-08
HTML,184,2024-06-08
RDF XML,5,2024-06-08
SERVICE,238,2024-06-08
SPARQL,70,2024-06-08
Unbekannt,4,2024-06-08
WMS,236,2024-06-08
WMTS,215,2024-06-08
ZIP,76,2024-06-08
cloud optimized geotiff,1,2024-06-08
Fehlt,65,2024-06-09
API,97,2024-06-09
GPKG,3,2024-06-09
HTML,184,2024-06-09
RDF XML,5,2024-06-09
SERVICE,238,2024-06-09
SPARQL,70,2024-06-09
Unbekannt,4,2024-06-09
WMS,236,2024-06-09
WMTS,215,2024-06-09
ZIP,76,2024-06-09
cloud optimized geotiff,1,2024-06-09
Fehlt,65,2024-06-10
API,97,2024-06-10
GPKG,3,2024-06-10
HTML,184,2024-06-10
RDF XML,5,2024-06-10
SERVICE,238,2024-06-10
SPARQL,70,2024-06-10
Unbekannt,4,2024-06-10
WMS,236,2024-06-10
WMTS,215,2024-06-10
ZIP,76,2024-06-10
cloud optimized geotiff,1,2024-06-10
Fehlt,65,2024-06-11
API,97,2024-06-11
GPKG,3,2024-06-11
HTML,184,2024-06-11
RDF XML,5,2024-06-11
SERVICE,238,2024-06-11
SPARQL,70,2024-06-11
Unbekannt,4,2024-06-11
WMS,236,2024-06-11
WMTS,215,2024-06-11
ZIP,76,2024-06-11
cloud optimized geotiff,1,2024-06-11
Fehlt,65,2024-06-12
API,97,2024-06-12
GPKG,3,2024-06-12
HTML,184,2024-06-12
RDF XML,5,2024-06-12
SERVICE,238,2024-06-12
SPARQL,70,2024-06-12
Unbekannt,4,2024-06-12
WMS,236,2024-06-12
WMTS,215,2024-06-12
ZIP,76,2024-06-12
cloud optimized geotiff,1,2024-06-12
Fehlt,65,2024-06-13
API,97,2024-06-13
GPKG,3,2024-06-13
HTML,184,2024-06-13
RDF XML,5,2024-06-13
SERVICE,238,2024-06-13
SPARQL,70,2024-06-13
Unbekannt,4,2024-06-13
WMS,236,2024-06-13
WMTS,215,2024-06-13
ZIP,76,2024-06-13
cloud optimized geotiff,1,2024-06-13
Fehlt,65,2024-06-14
API,97,2024-06-14
GPKG,3,2024-06-14
HTML,184,2024-06-14
RDF XML,5,2024-06-14
SERVICE,238,2024-06-14
SPARQL,70,2024-06-14
Unbekannt,4,2024-06-14
WMS,236,2024-06-14
WMTS,215,2024-06-14
ZIP,76,2024-06-14
cloud optimized geotiff,1,2024-06-14
Fehlt,65,2024-06-15
API,97,2024-06-15
GPKG,3,2024-06-15
HTML,204,2024-06-15
RDF XML,5,2024-06-15
SERVICE,258,2024-06-15
SPARQL,70,2024-06-15
Unbekannt,4,2024-06-15
WMS,256,2024-06-15
WMTS,235,2024-06-15
ZIP,76,2024-06-15
cloud optimized geotiff,1,2024-06-15
Fehlt,65,2024-06-16
API,97,2024-06-16
GPKG,3,2024-06-16
HTML,204,2024-06-16
RDF XML,5,2024-06-16
SERVICE,258,2024-06-16
SPARQL,70,2024-06-16
Unbekannt,4,2024-06-16
WMS,256,2024-06-16
WMTS,235,2024-06-16
ZIP,76,2024-06-16
cloud optimized geotiff,1,2024-06-16
Fehlt,65,2024-07-01
API,97,2024-07-01
GPKG,3,2024-07-01
HTML,204,2024-07-01
RDF XML,5,2024-07-01
SERVICE,258,2024-07-01
SPARQL,70,2024-07-01
Unbekannt,4,2024-07-01
WMS,256,2024-07-01
WMTS,235,2024-07-01
ZIP,76,2024-07-01
cloud optimized geotiff,1,2024-07-01
Fehlt,65,2024-07-02
API,97,2024-07-02
GPKG,3,2024-07-02
HTML,209,2024-07-02
RDF XML,5,2024-07-02
SERVICE,258,2024-07-02
SPARQL,70,2024-07-02
Unbekannt,4,2024-07-02
WMS,256,2024-07-02
WMTS,235,2024-07-02
ZIP,72,2024-07-02
cloud optimized geotiff,1,2024-07-02
