Format,Mail,Date
Fehlt,30,2024-03-30
API,46,2024-03-30
GPKG,1,2024-03-30
HTML,90,2024-03-30
RDF XML,4,2024-03-30
SERVICE,94,2024-03-30
SPARQL,71,2024-03-30
Unbekannt,4,2024-03-30
WMS,94,2024-03-30
WMTS,84,2024-03-30
ZIP,53,2024-03-30
Fehlt,30,2024-03-31
API,46,2024-03-31
GPKG,1,2024-03-31
HTML,90,2024-03-31
RDF XML,4,2024-03-31
SERVICE,94,2024-03-31
SPARQL,71,2024-03-31
Unbekannt,4,2024-03-31
WMS,94,2024-03-31
WMTS,84,2024-03-31
ZIP,53,2024-03-31
Fehlt,30,2024-04-01
API,46,2024-04-01
GPKG,1,2024-04-01
HTML,90,2024-04-01
RDF XML,4,2024-04-01
SERVICE,94,2024-04-01
SPARQL,71,2024-04-01
Unbekannt,4,2024-04-01
WMS,94,2024-04-01
WMTS,84,2024-04-01
ZIP,53,2024-04-01
Fehlt,30,2024-04-02
API,46,2024-04-02
GPKG,1,2024-04-02
HTML,90,2024-04-02
RDF XML,4,2024-04-02
SERVICE,94,2024-04-02
SPARQL,71,2024-04-02
Unbekannt,4,2024-04-02
WMS,94,2024-04-02
WMTS,84,2024-04-02
ZIP,53,2024-04-02
Fehlt,30,2024-04-03
API,46,2024-04-03
GPKG,1,2024-04-03
HTML,90,2024-04-03
RDF XML,4,2024-04-03
SERVICE,94,2024-04-03
SPARQL,71,2024-04-03
Unbekannt,4,2024-04-03
WMS,94,2024-04-03
WMTS,84,2024-04-03
ZIP,53,2024-04-03
Fehlt,30,2024-04-04
API,46,2024-04-04
GPKG,1,2024-04-04
HTML,90,2024-04-04
RDF XML,4,2024-04-04
SERVICE,94,2024-04-04
SPARQL,71,2024-04-04
Unbekannt,4,2024-04-04
WMS,94,2024-04-04
WMTS,84,2024-04-04
ZIP,53,2024-04-04
Fehlt,30,2024-04-05
API,46,2024-04-05
GPKG,1,2024-04-05
HTML,90,2024-04-05
RDF XML,4,2024-04-05
SERVICE,94,2024-04-05
SPARQL,71,2024-04-05
Unbekannt,4,2024-04-05
WMS,94,2024-04-05
WMTS,84,2024-04-05
ZIP,53,2024-04-05
Fehlt,30,2024-04-06
API,46,2024-04-06
GPKG,1,2024-04-06
HTML,90,2024-04-06
RDF XML,4,2024-04-06
SERVICE,94,2024-04-06
SPARQL,71,2024-04-06
Unbekannt,4,2024-04-06
WMS,94,2024-04-06
WMTS,84,2024-04-06
ZIP,53,2024-04-06
Fehlt,30,2024-04-07
API,46,2024-04-07
GPKG,1,2024-04-07
HTML,90,2024-04-07
RDF XML,4,2024-04-07
SERVICE,94,2024-04-07
SPARQL,71,2024-04-07
Unbekannt,4,2024-04-07
WMS,94,2024-04-07
WMTS,84,2024-04-07
ZIP,53,2024-04-07
Fehlt,30,2024-04-08
API,46,2024-04-08
GPKG,1,2024-04-08
HTML,90,2024-04-08
RDF XML,4,2024-04-08
SERVICE,94,2024-04-08
SPARQL,71,2024-04-08
Unbekannt,4,2024-04-08
WMS,94,2024-04-08
WMTS,84,2024-04-08
ZIP,53,2024-04-08
Fehlt,30,2024-04-09
API,46,2024-04-09
GPKG,1,2024-04-09
HTML,89,2024-04-09
RDF XML,4,2024-04-09
SERVICE,94,2024-04-09
SPARQL,70,2024-04-09
Unbekannt,4,2024-04-09
WMS,94,2024-04-09
WMTS,84,2024-04-09
ZIP,53,2024-04-09
Fehlt,65,2024-04-10
API,97,2024-04-10
GPKG,1,2024-04-10
HTML,184,2024-04-10
RDF XML,5,2024-04-10
SERVICE,238,2024-04-10
SPARQL,70,2024-04-10
Unbekannt,4,2024-04-10
WMS,236,2024-04-10
WMTS,215,2024-04-10
ZIP,69,2024-04-10
Fehlt,65,2024-04-11
API,97,2024-04-11
GPKG,1,2024-04-11
HTML,184,2024-04-11
RDF XML,5,2024-04-11
SERVICE,238,2024-04-11
SPARQL,70,2024-04-11
Unbekannt,4,2024-04-11
WMS,236,2024-04-11
WMTS,215,2024-04-11
ZIP,69,2024-04-11
Fehlt,65,2024-04-12
API,97,2024-04-12
GPKG,1,2024-04-12
HTML,184,2024-04-12
RDF XML,5,2024-04-12
SERVICE,238,2024-04-12
SPARQL,70,2024-04-12
Unbekannt,4,2024-04-12
WMS,236,2024-04-12
WMTS,215,2024-04-12
ZIP,69,2024-04-12
Fehlt,65,2024-04-13
API,97,2024-04-13
GPKG,1,2024-04-13
HTML,184,2024-04-13
RDF XML,5,2024-04-13
SERVICE,238,2024-04-13
SPARQL,70,2024-04-13
Unbekannt,4,2024-04-13
WMS,236,2024-04-13
WMTS,215,2024-04-13
ZIP,69,2024-04-13
Fehlt,65,2024-04-14
API,97,2024-04-14
GPKG,1,2024-04-14
HTML,184,2024-04-14
RDF XML,5,2024-04-14
SERVICE,238,2024-04-14
SPARQL,70,2024-04-14
Unbekannt,4,2024-04-14
WMS,236,2024-04-14
WMTS,215,2024-04-14
ZIP,69,2024-04-14
Fehlt,65,2024-04-15
API,97,2024-04-15
GPKG,1,2024-04-15
HTML,184,2024-04-15
RDF XML,5,2024-04-15
SERVICE,238,2024-04-15
SPARQL,70,2024-04-15
Unbekannt,4,2024-04-15
WMS,236,2024-04-15
WMTS,215,2024-04-15
ZIP,69,2024-04-15
Fehlt,65,2024-04-16
API,97,2024-04-16
GPKG,1,2024-04-16
HTML,184,2024-04-16
RDF XML,5,2024-04-16
